iwc_id,Product,Type,Unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-21,P_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.70656,104.40542,68.09932,72.61012,77.17401,81.06869,84.56853,87.15884,88.92498,91.44139,93.46447,94.06235,95.1475,96.01817,96.86537,97.66622,98.68164,99.69012,100.49158,100.52997,101.21398,101.74642,102.41005,103.33603,103.85531,104.47563,105.18876,105.64033,105.67265,105.91943,106.2756,106.31274,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276,106.89276
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-21,P_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.80925,121.57836,80.46587,85.6755,92.49036,99.13654,106.92398,114.4631,120.46296,126.69888,132.26211,137.54762,142.18696,146.53081,150.44641,153.94474,157.46343,160.44135,163.49732,165.24365,167.9959,170.61069,173.23053,175.84993,178.44849,181.04569,183.69212,186.2899,188.73188,191.42584,194.07983,196.6743,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741,199.1741
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-21,qP_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.43695,42.16025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-21,qP_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40021,48.50348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-21,H_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-21,H_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-21-F1-0-F2-0,P_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.70656,104.40542,110.5889,70.42027,74.29242,77.64228,80.61462,83.6219,85.65846,87.69196,89.66776,91.06435,92.40824,93.93755,95.29703,96.41206,97.71824,98.11734,99.20469,99.42111,100.15994,100.40435,100.6312,100.861,100.98693,101.47297,101.85008,102.04159,102.19067,102.3564,102.61957,102.76313,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635,102.34635
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-21-F1-0-F2-0,P_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.80925,121.57836,128.49571,83.40198,88.52017,93.33431,97.88321,102.56656,106.11634,110.49715,114.63987,118.90129,122.92505,127.0024,130.85183,134.51751,138.24328,140.85318,144.36071,147.95512,151.39753,154.72572,158.13641,161.22206,164.30347,167.49051,170.61639,173.62501,176.48595,179.40003,182.17193,184.89973,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577,186.49577
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-21-F1-0-F2-0,qP_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.43695,0,45.8613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-21-F1-0-F2-0,qP_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40021,0,52.38885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
