disturbance_type,src_stand_key,tgt_stand_key,src_species,tgt_species,src_origin,tgt_origin,src_si_class,tgt_si_class,src_growth_period,tgt_growth_period,src_mgmt_trajectory,tgt_mgmt_trajectory,reset_age
1st_Thin,BH1435-1-30,BH1435-1-30,LB,LB,PY,PY,SI90,SI90,current,current,T1-19-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH1435-1-30,BH1435-1-30,LB,LB,PY,PY,SI90,SI90,current,current,T1-19-T2-0-F1-0-F2-0,T1-14-T2-20-F1-15-F2-0,-1
Clearcut,BH1435-1-31,BH1435-1-31,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-14-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH1435-1-31,BH1435-1-31,LB,LB,PY,PY,SI85,SI85,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
1st_Thin,BH1435-1-31,BH1435-1-31,LB,LB,PY,PY,SI85,SI85,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH1435-1-31,BH1435-1-31,LB,LB,PY,PY,SI85,SI85,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH1435-1-339,BH1435-1-339,LB,LB,PY,PY,SI95,SI95,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH1435-1-339,BH1435-1-339,LB,LB,PY,PY,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH1435-1-339,BH1435-1-339,LB,LB,PY,PY,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH1435-1-339,BH1435-1-339,LB,LB,PY,PY,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-15-F2-0,-1
Clearcut,BH1435-1-343,BH1435-1-343,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-20-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH1435-1-343,BH1435-1-343,LB,LB,PY,PY,SI85,SI85,current,current,T1-20-T2-0-F1-0-F2-0,T1-20-T2-0-F1-0-F2-0,-1
1st_Thin,BH1435-1-343,BH1435-1-343,LB,LB,PY,PY,SI85,SI85,current,current,T1-20-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH1435-1-343,BH1435-1-343,LB,LB,PY,PY,SI85,SI85,current,current,T1-20-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
1st_Thin,BH1435-1-384,BH1435-1-384,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH1435-1-384,BH1435-1-384,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-19-F1-0-F2-0,-1
82.64% clearcut,BH1435-1-384,BH1435-1-384,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Site_Prep,BH1435-1-384,BH1435-1-384,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH1435-1-384,BH1435-1-384,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
1st_Thin,BH1435-1-390,BH1435-1-390,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH1435-1-390,BH1435-1-390,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH1435-1-390,BH1435-1-390,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH1435-1-390,BH1435-1-390,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH1435-1-46,BH1435-1-46,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
